Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-17_05:06:46,27.8,29.8,52.0,52.0,45.0,44.0,44.0,29.3,100.0,4.9,5.8,5.3,31.2,19.1,0.0,5.2
2022-03-17_05:06:48,27.8,29.8,51.0,43.0,44.0,43.0,51.0,31.3,49.8,11.1,10.1,54.3,31.7,19.7,0.0,5.2
2022-03-17_05:06:50,27.8,29.8,50.0,44.0,50.0,43.0,44.0,29.3,75.8,29.6,6.7,4.9,31.0,18.9,0.0,5.1
2022-03-17_05:06:52,27.8,29.8,51.0,44.0,51.0,44.0,43.0,28.9,5.4,99.5,5.3,5.3,30.9,18.7,0.0,5.2
2022-03-17_05:06:54,27.8,29.8,50.0,45.0,50.0,43.0,45.0,29.2,4.8,100.0,5.7,5.8,30.9,18.7,0.0,5.2
2022-03-17_05:06:56,27.8,29.8,50.0,44.0,50.0,45.0,45.0,28.6,5.3,99.5,4.4,3.9,30.9,18.8,0.0,5.2
2022-03-17_05:06:58,27.8,29.8,50.0,43.0,43.0,51.0,47.0,28.9,4.9,41.3,35.4,33.3,30.9,18.8,0.0,5.2
2022-03-17_05:07:01,27.8,29.8,52.0,43.0,43.0,45.0,53.0,28.8,4.9,3.9,47.3,58.7,30.9,18.8,0.0,5.2
2022-03-17_05:07:03,27.8,29.8,53.0,44.0,43.0,46.0,53.0,29.0,5.3,5.8,3.9,99.5,30.8,18.8,0.0,5.2
2022-03-17_05:07:05,27.8,29.8,51.0,51.0,45.0,43.0,44.0,29.1,67.3,5.3,4.4,38.8,31.0,18.9,0.0,5.1
2022-03-17_05:07:07,27.8,29.8,51.0,44.0,51.0,45.0,44.0,28.8,37.9,66.3,4.0,6.2,31.0,18.9,0.0,5.2
2022-03-17_05:07:09,27.8,29.8,50.0,44.0,43.0,44.0,50.0,28.7,4.9,5.9,4.4,98.6,30.6,18.5,0.0,5.2
2022-03-17_05:07:11,27.8,29.8,49.0,44.0,45.0,50.0,44.0,27.4,4.9,29.1,36.5,38.8,29.9,17.9,0.0,5.0
2022-03-17_05:07:13,27.8,29.8,51.0,51.0,45.0,43.0,44.0,29.4,62.1,5.8,44.3,5.3,31.0,18.9,0.0,5.2
2022-03-17_05:07:15,27.8,29.8,51.0,51.0,45.0,45.0,43.0,29.5,99.5,4.9,7.7,4.4,31.1,18.8,0.0,5.1
2022-03-17_05:07:17,27.8,29.8,51.0,44.0,51.0,45.0,44.0,28.6,40.9,63.9,3.5,5.8,31.1,18.9,0.0,5.2
2022-03-17_05:07:19,27.8,29.8,53.0,42.0,44.0,46.0,52.0,29.2,5.4,13.1,36.2,61.7,30.7,18.7,0.0,5.2
2022-03-17_05:07:21,27.8,29.8,51.0,43.0,43.0,45.0,51.0,29.0,4.9,4.9,5.4,99.5,30.7,18.7,0.0,5.2
