Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-10_02:34:57,27.8,29.8,36.0,33.0,35.0,33.0,36.0,1.9,1.4,3.8,1.4,1.0,8.7,0.3,0.0,3.5
2022-03-10_02:34:59,27.8,29.8,35.0,34.0,34.0,31.0,36.0,1.6,0.5,1.9,2.4,1.0,8.6,0.3,0.0,3.5
2022-03-10_02:35:01,27.8,29.8,35.0,34.0,34.0,32.0,35.0,1.1,1.0,1.4,1.4,1.4,8.6,0.2,0.0,3.5
2022-03-10_02:35:03,27.8,29.8,36.0,36.0,35.0,33.0,35.0,1.4,0.5,2.4,1.4,0.5,8.7,0.3,0.0,3.5
2022-03-10_02:35:05,27.8,29.8,37.0,36.0,35.0,34.0,36.0,1.6,2.4,1.0,1.0,2.4,8.6,0.2,0.0,3.5
2022-03-10_02:35:07,27.8,29.8,35.0,34.0,34.0,32.0,36.0,1.2,0.5,0.5,1.9,1.4,8.6,0.2,0.0,3.5
2022-03-10_02:35:09,27.8,29.8,36.0,35.0,33.0,33.0,36.0,1.4,1.4,0.5,0.5,3.3,8.8,0.4,0.0,3.5
2022-03-10_02:35:11,27.8,29.8,35.0,34.0,34.0,32.0,35.0,2.5,1.0,1.0,2.9,5.6,8.6,0.3,0.0,3.5
2022-03-10_02:35:13,27.8,29.8,38.0,35.0,34.0,34.0,36.0,6.8,7.2,3.4,10.1,6.7,10.9,2.2,0.0,3.6
2022-03-10_02:35:16,27.8,29.8,36.0,34.0,35.0,33.0,37.0,1.6,1.0,1.0,2.4,1.0,8.6,0.2,0.0,3.5
2022-03-10_02:35:18,27.8,29.8,37.0,34.0,34.0,32.0,36.0,1.2,1.0,1.0,1.0,1.9,8.7,0.3,0.0,3.5
2022-03-10_02:35:20,27.8,29.8,35.0,35.0,34.0,31.0,37.0,1.8,0.5,3.8,1.4,2.4,8.8,0.4,0.0,3.5
2022-03-10_02:35:22,27.8,29.8,36.0,34.0,36.0,32.0,36.0,1.3,1.0,0.5,1.5,1.9,8.6,0.2,0.0,3.5
2022-03-10_02:35:24,27.8,29.8,36.0,35.0,34.0,33.0,35.0,1.1,0.5,1.9,1.5,1.0,8.7,0.3,0.0,3.5
2022-03-10_02:35:26,27.8,29.8,35.0,35.0,35.0,32.0,37.0,1.3,0.5,1.9,1.0,1.9,8.7,0.3,0.0,3.5
2022-03-10_02:35:28,27.8,29.8,37.0,35.0,34.0,32.0,36.0,1.3,0.5,1.0,1.9,1.4,8.6,0.2,0.0,3.5
2022-03-10_02:35:30,27.8,29.8,36.0,35.0,35.0,33.0,36.0,1.6,0.5,1.0,1.4,2.9,8.6,0.3,0.0,3.5
2022-03-10_02:35:32,27.8,29.8,36.0,34.0,35.0,32.0,35.0,1.1,1.0,0.5,1.4,1.4,8.7,0.3,0.0,3.5
2022-03-10_02:35:34,27.8,29.8,36.0,35.0,34.0,32.0,36.0,1.8,1.0,1.4,1.0,4.2,8.6,0.3,0.0,3.5
2022-03-10_02:35:36,27.8,29.8,36.0,34.0,34.0,32.0,35.0,1.2,1.4,0.5,1.4,0.5,8.7,0.3,0.0,3.5
2022-03-10_02:35:39,27.8,29.8,36.0,35.0,34.0,31.0,37.0,1.3,2.4,1.4,1.4,1.0,8.6,0.2,0.0,3.5
2022-03-10_02:35:41,27.8,29.8,35.0,34.0,34.0,32.0,35.0,1.0,0.5,2.4,1.0,1.0,8.6,0.2,0.0,3.5
2022-03-10_02:35:43,27.8,29.8,36.0,35.0,35.0,32.0,37.0,1.4,0.5,1.9,1.9,0.5,8.7,0.3,0.0,3.5
2022-03-10_02:35:45,27.8,29.8,35.0,34.0,34.0,32.0,35.0,1.1,1.0,1.4,1.0,1.0,8.7,0.3,0.0,3.5
2022-03-10_02:35:47,27.8,29.8,35.0,36.0,34.0,32.0,35.0,1.4,2.4,2.4,0.0,0.5,8.6,0.2,0.0,3.5
2022-03-10_02:35:49,27.8,29.8,36.0,34.0,36.0,32.0,35.0,1.9,2.8,1.4,1.9,1.9,8.7,0.4,0.0,3.5
2022-03-10_02:35:51,27.8,29.8,36.0,34.0,35.0,32.0,35.0,0.8,0.0,1.4,0.5,1.0,8.6,0.3,0.0,3.5
2022-03-10_02:35:53,27.8,29.8,36.0,34.0,34.0,32.0,36.0,1.0,0.5,2.9,0.5,0.5,8.6,0.2,0.0,3.5
2022-03-10_02:35:55,27.8,29.8,36.0,36.0,35.0,31.0,35.0,1.8,3.3,1.9,1.9,0.5,8.7,0.4,0.0,3.5
2022-03-10_02:35:57,27.8,29.8,36.0,36.0,35.0,32.0,35.0,1.0,0.5,1.4,1.0,0.5,8.7,0.3,0.0,3.5
2022-03-10_02:35:59,27.8,29.8,35.0,34.0,33.0,32.0,36.0,1.2,1.0,1.9,1.0,1.0,8.6,0.2,0.0,3.5
2022-03-10_02:36:02,27.8,29.8,35.0,35.0,35.0,32.0,36.0,1.7,2.4,1.9,0.5,1.4,8.7,0.3,0.0,3.5
